x,y,easting,northing,depth_1,depth_2,depth_3,depth_4,depth_5,avg,var,cover,site,day,month,year,hour,minute
0,0,273780.31,4172887.15,0,0,0,0,0,0,0,snags,wetland,26,3,2022,13,35
0,10,273780.31,4172897.15,44,31,56,59,36,45.2,148.7,open,,,,,,
0,20,273780.31,4172907.15,0,15,0,0,60,15,675,open,,,,,,
0,30,273780.31,4172917.15,35,44,47,30,25,36.2,85.7,open,,,,,,
0,40,273780.31,4172927.15,40,38,30,42,38,37.6,20.8,open,,,,,,
10,0,273790.31,4172887.15,0,0,0,0,0,0,0,snags,,,,,,
10,10,273790.31,4172897.15,31,29,38,29,30,31.4,14.3,open,,,,,,
10,20,273790.31,4172907.15,50,38,62,35,25,42,204.5,open,,,,,,
10,30,273790.31,4172917.15,34,34,39,26,30,32.6,23.8,open,,,,,,
10,40,273790.31,4172927.15,0,0,10,12,0,4.4,36.8,open,,,,,,
20,0,273800.31,4172887.15,0,0,0,0,0,0,0,snags,,,,,,
20,10,273800.31,4172897.15,37,34,35,39,36,36.2,3.7,open,,,,,,
20,20,273800.31,4172907.15,44,50,40,37,48,43.8,29.2,open,,,,,,
20,30,273800.31,4172917.15,41,42,39,35,34,38.2,12.7,open,,,,,,
20,40,273800.31,4172927.15,35,40,20,28,0,24.6,245.8,open,,,,,,
30,0,273810.31,4172887.15,33,36,34,15,43,32.2,107.7,open,,,,,,
30,10,273810.31,4172897.15,24,33,29,28,24,27.6,14.3,open,,,,,,
30,20,273810.31,4172907.15,36,35,40,29,41,36.2,22.7,open,,,,,,
30,30,273810.31,4172917.15,25,14,30,26,24,23.8,35.2,open,,,,,,
30,40,273810.31,4172927.15,33,34,32,29,30,31.6,4.3,open,,,,,,
40,0,273820.31,4172887.15,33,41,9,12,34,25.8,205.7,open,,,,,,
40,10,273820.31,4172897.15,34,26,35,23,41,31.8,52.7,open,,,,,,
40,20,273820.31,4172907.15,0,0,0,0,0,0,0,open,,,,,,
40,30,273820.31,4172917.15,20,35,46,50,45,39.2,145.7,open,,,,,,
40,40,273820.31,4172927.15,40,40,39,15,40,34.8,122.7,open,,,,,,
